type,protocol,srcPort,destPort,bytes,duration,requestCount,sourceIP,severity,timestamp
normal,TCP,2686,80,908,1,10,192.168.1.82,Low,2026-07-03T14:01:00Z
normal,HTTP,1192,443,171,12,6,192.168.1.165,Low,2026-07-03T15:12:00Z
normal,HTTP,45310,443,3155,2,10,192.168.1.59,Low,2026-07-03T17:21:00Z
normal,HTTP,60829,443,2885,29,8,192.168.1.141,Low,2026-07-03T09:58:00Z
normal,HTTPS,25300,80,1930,23,4,192.168.1.92,Low,2026-07-03T15:48:00Z
normal,HTTPS,41473,443,3985,10,1,192.168.1.113,Low,2026-07-03T09:02:00Z
normal,DNS,64078,53,4245,19,3,192.168.1.169,Low,2026-07-03T13:20:00Z
normal,DNS,65339,53,3943,29,10,192.168.1.195,Low,2026-07-03T10:51:00Z
normal,HTTPS,5717,80,716,15,7,192.168.1.82,Low,2026-07-03T09:43:00Z
normal,DNS,21815,53,2365,5,5,192.168.1.92,Low,2026-07-03T12:44:00Z
normal,TCP,53345,80,3884,8,1,192.168.1.44,Low,2026-07-03T11:02:00Z
normal,HTTPS,19246,443,310,2,6,192.168.1.84,Low,2026-07-03T16:21:00Z
normal,HTTP,56739,80,1249,9,3,192.168.1.183,Low,2026-07-03T10:13:00Z
normal,DNS,16700,53,2596,14,1,192.168.1.242,Low,2026-07-03T12:45:00Z
normal,DNS,15241,53,2036,10,2,192.168.1.118,Low,2026-07-03T11:41:00Z
normal,TCP,36223,80,2272,12,1,192.168.1.201,Low,2026-07-03T10:24:00Z
normal,TCP,30213,80,1380,12,3,192.168.1.207,Low,2026-07-03T15:15:00Z
normal,DNS,27485,53,521,28,8,192.168.1.215,Low,2026-07-03T13:40:00Z
normal,TCP,4231,80,4641,3,6,192.168.1.111,Low,2026-07-03T11:40:00Z
normal,TCP,63348,80,2875,20,4,192.168.1.229,Low,2026-07-03T17:20:00Z
normal,HTTPS,17472,80,3258,27,9,192.168.1.69,Low,2026-07-03T13:20:00Z
normal,HTTP,62336,443,1624,29,4,192.168.1.95,Low,2026-07-03T13:27:00Z
normal,DNS,20309,53,4905,11,3,192.168.1.33,Low,2026-07-03T11:53:00Z
normal,TCP,62711,80,3598,19,3,192.168.1.167,Low,2026-07-03T09:29:00Z
normal,TCP,2913,80,1800,5,2,192.168.1.252,Low,2026-07-03T11:36:00Z
normal,TCP,30794,80,1295,1,7,192.168.1.154,Low,2026-07-03T17:38:00Z
normal,HTTPS,38963,80,4481,18,4,192.168.1.245,Low,2026-07-03T17:12:00Z
normal,TCP,20772,80,1875,16,7,192.168.1.183,Low,2026-07-03T17:25:00Z
normal,DNS,20656,53,3091,15,10,192.168.1.16,Low,2026-07-03T14:06:00Z
normal,TCP,45795,80,4530,10,4,192.168.1.112,Low,2026-07-03T17:21:00Z
normal,HTTPS,14003,80,2787,22,9,192.168.1.5,Low,2026-07-03T15:41:00Z
normal,DNS,15742,53,376,29,3,192.168.1.136,Low,2026-07-03T14:56:00Z
normal,TCP,44051,80,1204,12,10,192.168.1.37,Low,2026-07-03T17:56:00Z
normal,HTTP,3762,443,1916,17,9,192.168.1.219,Low,2026-07-03T13:02:00Z
normal,DNS,50146,53,4000,16,5,192.168.1.201,Low,2026-07-03T14:44:00Z
normal,TCP,52930,80,2202,22,8,192.168.1.144,Low,2026-07-03T12:36:00Z
normal,HTTPS,62249,80,2820,13,9,192.168.1.250,Low,2026-07-03T12:38:00Z
normal,DNS,38686,53,1304,6,2,192.168.1.108,Low,2026-07-03T09:30:00Z
normal,DNS,36911,53,4909,13,9,192.168.1.211,Low,2026-07-03T10:24:00Z
normal,HTTPS,21536,80,4571,11,9,192.168.1.93,Low,2026-07-03T12:26:00Z
normal,DNS,60420,53,3342,23,8,192.168.1.152,Low,2026-07-03T13:22:00Z
normal,TCP,33438,80,3767,4,7,192.168.1.243,Low,2026-07-03T09:55:00Z
normal,HTTP,14389,443,424,10,7,192.168.1.125,Low,2026-07-03T10:11:00Z
normal,TCP,18897,80,1570,10,2,192.168.1.61,Low,2026-07-03T09:32:00Z
normal,HTTPS,63200,443,2830,4,10,192.168.1.69,Low,2026-07-03T17:03:00Z
normal,HTTPS,62521,80,1048,13,1,192.168.1.246,Low,2026-07-03T14:52:00Z
normal,DNS,1173,53,2561,17,8,192.168.1.231,Low,2026-07-03T11:03:00Z
normal,HTTPS,31080,443,2772,26,4,192.168.1.98,Low,2026-07-03T12:22:00Z
normal,DNS,4650,53,4957,20,2,192.168.1.117,Low,2026-07-03T11:25:00Z
normal,TCP,52259,80,3106,26,8,192.168.1.28,Low,2026-07-03T09:51:00Z
normal,HTTP,58983,443,4583,10,5,192.168.1.150,Low,2026-07-03T13:00:00Z
normal,DNS,3017,53,3008,14,1,192.168.1.166,Low,2026-07-03T14:14:00Z
normal,DNS,23545,53,3791,8,7,192.168.1.50,Low,2026-07-03T11:33:00Z
normal,TCP,50077,80,1483,23,6,192.168.1.138,Low,2026-07-03T13:00:00Z
normal,HTTP,10674,443,845,9,2,192.168.1.76,Low,2026-07-03T09:05:00Z
normal,DNS,44608,53,659,9,1,192.168.1.22,Low,2026-07-03T11:23:00Z
normal,HTTPS,12807,80,1839,9,5,192.168.1.166,Low,2026-07-03T14:00:00Z
normal,DNS,33163,53,3834,2,6,192.168.1.23,Low,2026-07-03T16:11:00Z
normal,HTTP,18009,443,1353,28,9,192.168.1.195,Low,2026-07-03T14:30:00Z
normal,DNS,27963,53,291,14,8,192.168.1.74,Low,2026-07-03T12:42:00Z
normal,HTTPS,22996,443,1160,8,6,192.168.1.223,Low,2026-07-03T15:38:00Z
normal,HTTPS,2798,443,4849,22,6,192.168.1.52,Low,2026-07-03T14:28:00Z
normal,HTTPS,4714,443,3647,2,9,192.168.1.237,Low,2026-07-03T12:04:00Z
normal,HTTPS,18832,80,414,5,6,192.168.1.57,Low,2026-07-03T17:31:00Z
normal,HTTPS,24610,443,4297,26,6,192.168.1.181,Low,2026-07-03T11:31:00Z
normal,DNS,27296,53,2706,11,7,192.168.1.76,Low,2026-07-03T14:43:00Z
normal,HTTPS,53296,80,3635,19,10,192.168.1.198,Low,2026-07-03T12:09:00Z
normal,HTTPS,26995,80,2540,15,5,192.168.1.231,Low,2026-07-03T09:05:00Z
normal,HTTP,13900,80,4579,27,10,192.168.1.142,Low,2026-07-03T15:26:00Z
normal,DNS,26969,53,1162,25,9,192.168.1.176,Low,2026-07-03T11:03:00Z
normal,DNS,9979,53,4186,11,8,192.168.1.182,Low,2026-07-03T13:05:00Z
normal,HTTPS,54393,443,1969,16,9,192.168.1.197,Low,2026-07-03T09:57:00Z
normal,TCP,14305,80,4586,16,10,192.168.1.95,Low,2026-07-03T12:46:00Z
normal,TCP,21353,80,4682,30,7,192.168.1.151,Low,2026-07-03T13:12:00Z
normal,TCP,46218,80,4108,24,2,192.168.1.31,Low,2026-07-03T12:41:00Z
normal,TCP,2047,80,4317,14,8,192.168.1.68,Low,2026-07-03T13:17:00Z
normal,DNS,36494,53,4337,16,2,192.168.1.37,Low,2026-07-03T09:36:00Z
normal,HTTP,61098,80,4824,29,5,192.168.1.191,Low,2026-07-03T10:15:00Z
normal,HTTP,9518,443,3788,10,4,192.168.1.65,Low,2026-07-03T09:21:00Z
normal,HTTP,36323,80,626,21,9,192.168.1.75,Low,2026-07-03T15:02:00Z
normal,TCP,13893,80,1728,7,7,192.168.1.245,Low,2026-07-03T11:21:00Z
normal,DNS,49081,53,3967,13,5,192.168.1.133,Low,2026-07-03T15:23:00Z
normal,HTTP,17374,80,4206,16,6,192.168.1.149,Low,2026-07-03T10:21:00Z
normal,HTTP,33355,443,1308,22,10,192.168.1.248,Low,2026-07-03T12:07:00Z
normal,TCP,59142,80,4332,30,4,192.168.1.137,Low,2026-07-03T14:10:00Z
normal,TCP,54064,80,3883,14,5,192.168.1.238,Low,2026-07-03T11:24:00Z
normal,DNS,43232,53,3445,13,5,192.168.1.222,Low,2026-07-03T11:51:00Z
normal,DNS,41506,53,4671,3,9,192.168.1.29,Low,2026-07-03T15:41:00Z
normal,TCP,5447,80,634,21,7,192.168.1.6,Low,2026-07-03T16:45:00Z
normal,HTTPS,38108,80,4537,22,5,192.168.1.12,Low,2026-07-03T14:59:00Z
normal,HTTPS,28548,80,4927,5,8,192.168.1.66,Low,2026-07-03T12:49:00Z
normal,TCP,29983,80,3170,16,4,192.168.1.155,Low,2026-07-03T17:12:00Z
normal,HTTP,51067,443,2892,23,9,192.168.1.80,Low,2026-07-03T10:05:00Z
normal,HTTP,56511,443,1385,15,4,192.168.1.30,Low,2026-07-03T12:45:00Z
normal,HTTPS,3267,443,2565,12,1,192.168.1.238,Low,2026-07-03T15:59:00Z
normal,DNS,33247,53,4228,30,4,192.168.1.94,Low,2026-07-03T17:44:00Z
normal,DNS,24268,53,960,15,3,192.168.1.84,Low,2026-07-03T12:43:00Z
normal,HTTPS,47245,80,2659,25,4,192.168.1.206,Low,2026-07-03T17:13:00Z
normal,HTTP,49618,443,2244,23,3,192.168.1.241,Low,2026-07-03T12:54:00Z
normal,TCP,40647,80,4914,4,7,192.168.1.61,Low,2026-07-03T09:44:00Z
normal,HTTP,34208,80,1898,14,4,192.168.1.150,Low,2026-07-03T10:36:00Z
normal,HTTPS,54378,443,1768,10,10,192.168.1.101,Low,2026-07-03T10:59:00Z
normal,HTTPS,15543,443,3384,26,9,192.168.1.84,Low,2026-07-03T13:33:00Z
normal,TCP,44167,80,3388,16,1,192.168.1.58,Low,2026-07-03T14:45:00Z
normal,DNS,10584,53,3635,26,9,192.168.1.175,Low,2026-07-03T09:21:00Z
normal,HTTPS,5134,80,3040,14,7,192.168.1.227,Low,2026-07-03T09:34:00Z
normal,HTTPS,46462,443,2880,26,2,192.168.1.153,Low,2026-07-03T14:40:00Z
normal,DNS,17799,53,3194,24,8,192.168.1.177,Low,2026-07-03T11:08:00Z
normal,HTTP,13331,80,4838,30,5,192.168.1.173,Low,2026-07-03T11:53:00Z
normal,HTTPS,33642,443,4370,12,4,192.168.1.154,Low,2026-07-03T17:15:00Z
normal,HTTP,39368,80,4682,30,4,192.168.1.38,Low,2026-07-03T16:12:00Z
normal,TCP,35908,80,3128,18,8,192.168.1.47,Low,2026-07-03T09:22:00Z
normal,HTTP,63489,443,1002,26,6,192.168.1.65,Low,2026-07-03T15:21:00Z
normal,HTTP,56956,80,422,15,3,192.168.1.254,Low,2026-07-03T14:15:00Z
normal,HTTPS,17847,443,1403,26,5,192.168.1.64,Low,2026-07-03T10:13:00Z
normal,HTTPS,46366,80,3818,7,3,192.168.1.135,Low,2026-07-03T16:20:00Z
normal,DNS,39120,53,3886,22,4,192.168.1.129,Low,2026-07-03T09:29:00Z
normal,HTTP,41029,80,4280,23,10,192.168.1.62,Low,2026-07-03T11:32:00Z
normal,TCP,5885,80,2477,11,10,192.168.1.104,Low,2026-07-03T17:02:00Z
normal,DNS,44189,53,4140,29,7,192.168.1.84,Low,2026-07-03T12:18:00Z
normal,DNS,5947,53,2979,10,10,192.168.1.233,Low,2026-07-03T11:45:00Z
normal,HTTP,3829,443,278,1,8,192.168.1.100,Low,2026-07-03T15:00:00Z
normal,TCP,46304,80,4820,26,6,192.168.1.226,Low,2026-07-03T14:12:00Z
normal,HTTPS,54550,80,3088,21,8,192.168.1.189,Low,2026-07-03T12:48:00Z
normal,HTTPS,23638,80,892,15,3,192.168.1.196,Low,2026-07-03T17:27:00Z
normal,DNS,34733,53,4067,17,10,192.168.1.245,Low,2026-07-03T11:35:00Z
normal,HTTP,23242,443,2920,24,4,192.168.1.203,Low,2026-07-03T09:24:00Z
normal,DNS,23711,53,2222,8,10,192.168.1.193,Low,2026-07-03T14:00:00Z
normal,TCP,56053,80,1384,18,7,192.168.1.245,Low,2026-07-03T14:53:00Z
normal,HTTPS,33633,80,975,30,1,192.168.1.141,Low,2026-07-03T14:21:00Z
normal,HTTP,43893,443,837,21,10,192.168.1.47,Low,2026-07-03T13:41:00Z
normal,HTTP,26636,80,578,26,7,192.168.1.19,Low,2026-07-03T17:59:00Z
normal,TCP,53472,80,2164,27,5,192.168.1.126,Low,2026-07-03T12:32:00Z
normal,HTTP,37225,443,869,26,7,192.168.1.190,Low,2026-07-03T16:22:00Z
normal,DNS,42720,53,2308,20,8,192.168.1.217,Low,2026-07-03T14:04:00Z
normal,TCP,25288,80,2175,27,10,192.168.1.3,Low,2026-07-03T13:09:00Z
normal,DNS,45756,53,893,7,9,192.168.1.60,Low,2026-07-03T09:49:00Z
normal,TCP,36873,80,1541,20,9,192.168.1.10,Low,2026-07-03T13:44:00Z
normal,HTTPS,36492,80,3073,18,4,192.168.1.219,Low,2026-07-03T17:48:00Z
normal,TCP,57198,80,611,11,10,192.168.1.15,Low,2026-07-03T13:35:00Z
normal,HTTP,29221,80,4484,1,9,192.168.1.124,Low,2026-07-03T17:10:00Z
normal,DNS,8378,53,3618,25,3,192.168.1.177,Low,2026-07-03T10:49:00Z
normal,HTTP,26751,80,1363,21,9,192.168.1.161,Low,2026-07-03T09:29:00Z
normal,HTTPS,5364,443,285,11,1,192.168.1.194,Low,2026-07-03T17:58:00Z
normal,TCP,42134,80,2779,20,10,192.168.1.87,Low,2026-07-03T16:33:00Z
normal,HTTPS,34897,443,3909,29,7,192.168.1.100,Low,2026-07-03T12:27:00Z
normal,DNS,19832,53,772,6,3,192.168.1.145,Low,2026-07-03T14:49:00Z
normal,HTTPS,65336,443,2632,27,7,192.168.1.141,Low,2026-07-03T14:06:00Z
normal,TCP,29733,80,4354,29,8,192.168.1.138,Low,2026-07-03T10:38:00Z
normal,HTTP,14828,443,3378,15,10,192.168.1.189,Low,2026-07-03T17:55:00Z
normal,HTTP,25468,443,4946,4,4,192.168.1.43,Low,2026-07-03T17:59:00Z
normal,HTTPS,30632,80,2074,26,3,192.168.1.142,Low,2026-07-03T12:13:00Z
normal,HTTP,49128,443,3113,2,8,192.168.1.221,Low,2026-07-03T11:43:00Z
normal,DNS,17891,53,1881,22,8,192.168.1.173,Low,2026-07-03T10:04:00Z
normal,HTTP,9688,80,366,23,3,192.168.1.19,Low,2026-07-03T14:41:00Z
normal,HTTP,11318,443,381,17,6,192.168.1.62,Low,2026-07-03T14:30:00Z
normal,DNS,1400,53,1277,19,3,192.168.1.150,Low,2026-07-03T10:44:00Z
normal,HTTPS,27797,80,4375,7,10,192.168.1.210,Low,2026-07-03T10:58:00Z
normal,DNS,40977,53,1777,4,7,192.168.1.36,Low,2026-07-03T17:47:00Z
normal,DNS,40823,53,3164,11,6,192.168.1.200,Low,2026-07-03T14:28:00Z
normal,TCP,50957,80,3606,14,9,192.168.1.36,Low,2026-07-03T12:01:00Z
normal,DNS,15159,53,2592,24,7,192.168.1.51,Low,2026-07-03T15:35:00Z
normal,HTTP,40047,443,1797,1,10,192.168.1.32,Low,2026-07-03T11:34:00Z
normal,TCP,32669,80,2612,10,7,192.168.1.121,Low,2026-07-03T10:13:00Z
normal,HTTPS,57120,443,2247,2,1,192.168.1.232,Low,2026-07-03T11:08:00Z
normal,HTTP,31410,443,413,5,6,192.168.1.185,Low,2026-07-03T09:11:00Z
normal,TCP,45900,80,4408,17,2,192.168.1.137,Low,2026-07-03T14:45:00Z
normal,HTTP,28520,443,3319,13,9,192.168.1.119,Low,2026-07-03T17:04:00Z
normal,HTTP,18605,80,4754,28,8,192.168.1.242,Low,2026-07-03T09:48:00Z
normal,HTTPS,36769,80,2571,18,9,192.168.1.203,Low,2026-07-03T15:56:00Z
normal,HTTPS,44226,443,1011,25,4,192.168.1.151,Low,2026-07-03T11:42:00Z
normal,HTTPS,12933,80,4571,7,3,192.168.1.175,Low,2026-07-03T13:50:00Z
normal,HTTPS,50303,80,2922,22,7,192.168.1.231,Low,2026-07-03T10:21:00Z
normal,HTTPS,12858,443,1587,8,3,192.168.1.242,Low,2026-07-03T12:59:00Z
normal,TCP,5555,80,2166,3,4,192.168.1.69,Low,2026-07-03T17:52:00Z
normal,TCP,61391,80,789,27,2,192.168.1.143,Low,2026-07-03T13:51:00Z
normal,DNS,64402,53,1127,24,5,192.168.1.216,Low,2026-07-03T15:26:00Z
normal,TCP,25426,80,1699,20,9,192.168.1.127,Low,2026-07-03T14:54:00Z
normal,DNS,38587,53,643,13,6,192.168.1.229,Low,2026-07-03T09:49:00Z
normal,TCP,7494,80,1238,5,8,192.168.1.50,Low,2026-07-03T09:47:00Z
normal,HTTPS,33178,80,3968,12,8,192.168.1.153,Low,2026-07-03T14:00:00Z
normal,DNS,24261,53,2918,18,7,192.168.1.140,Low,2026-07-03T09:18:00Z
normal,DNS,28318,53,1219,24,5,192.168.1.26,Low,2026-07-03T13:35:00Z
normal,HTTPS,26663,443,3904,22,6,192.168.1.154,Low,2026-07-03T11:17:00Z
normal,TCP,25030,80,711,7,2,192.168.1.220,Low,2026-07-03T13:40:00Z
normal,HTTPS,36217,443,1571,28,2,192.168.1.44,Low,2026-07-03T10:31:00Z
normal,HTTP,41232,80,640,24,10,192.168.1.118,Low,2026-07-03T17:53:00Z
normal,DNS,55348,53,2913,30,10,192.168.1.90,Low,2026-07-03T14:39:00Z
normal,DNS,32180,53,3602,7,4,192.168.1.89,Low,2026-07-03T13:28:00Z
normal,HTTPS,36240,443,262,1,4,192.168.1.187,Low,2026-07-03T17:19:00Z
normal,DNS,11896,53,4913,8,2,192.168.1.42,Low,2026-07-03T14:21:00Z
normal,TCP,50309,80,4070,6,7,192.168.1.17,Low,2026-07-03T13:13:00Z
normal,DNS,11377,53,488,8,4,192.168.1.34,Low,2026-07-03T13:21:00Z
normal,DNS,55153,53,3841,14,6,192.168.1.116,Low,2026-07-03T17:53:00Z
normal,HTTPS,56231,80,3780,24,9,192.168.1.43,Low,2026-07-03T16:21:00Z
normal,DNS,33500,53,4792,8,5,192.168.1.96,Low,2026-07-03T12:28:00Z
normal,HTTPS,8071,80,4138,8,1,192.168.1.86,Low,2026-07-03T10:33:00Z
normal,DNS,5358,53,3975,4,6,192.168.1.240,Low,2026-07-03T13:24:00Z
normal,DNS,22145,53,2840,13,8,192.168.1.163,Low,2026-07-03T15:23:00Z
normal,HTTPS,31325,80,1279,13,10,192.168.1.36,Low,2026-07-03T17:47:00Z
normal,DNS,48759,53,2837,23,4,192.168.1.20,Low,2026-07-03T11:22:00Z
normal,DNS,64208,53,400,11,7,192.168.1.199,Low,2026-07-03T15:45:00Z
normal,HTTP,13997,80,3456,7,9,192.168.1.142,Low,2026-07-03T13:09:00Z
normal,HTTP,49086,443,3848,2,3,192.168.1.21,Low,2026-07-03T11:28:00Z
normal,TCP,22899,80,4606,4,4,192.168.1.43,Low,2026-07-03T11:49:00Z
normal,DNS,24873,53,2136,13,3,192.168.1.77,Low,2026-07-03T09:08:00Z
normal,HTTP,64892,80,191,2,6,192.168.1.235,Low,2026-07-03T10:29:00Z
normal,DNS,26277,53,4944,14,6,192.168.1.246,Low,2026-07-03T17:02:00Z
normal,HTTP,2112,443,1729,25,5,192.168.1.53,Low,2026-07-03T10:58:00Z
normal,DNS,29252,53,925,12,9,192.168.1.237,Low,2026-07-03T10:51:00Z
normal,HTTP,64587,80,774,21,5,192.168.1.125,Low,2026-07-03T15:18:00Z
normal,HTTP,5032,443,2552,9,5,192.168.1.39,Low,2026-07-03T14:06:00Z
normal,HTTPS,30563,443,3871,7,4,192.168.1.98,Low,2026-07-03T09:07:00Z
normal,DNS,56024,53,2137,2,5,192.168.1.42,Low,2026-07-03T14:18:00Z
normal,HTTP,34576,443,2099,17,9,192.168.1.131,Low,2026-07-03T10:21:00Z
normal,DNS,61040,53,3457,30,1,192.168.1.146,Low,2026-07-03T13:40:00Z
normal,DNS,63303,53,810,19,2,192.168.1.59,Low,2026-07-03T12:12:00Z
normal,HTTPS,17141,443,1311,24,2,192.168.1.7,Low,2026-07-03T16:49:00Z
normal,TCP,18961,80,4848,25,1,192.168.1.57,Low,2026-07-03T17:28:00Z
normal,TCP,59391,80,3604,21,10,192.168.1.99,Low,2026-07-03T14:00:00Z
normal,HTTPS,44280,80,1432,18,1,192.168.1.19,Low,2026-07-03T14:42:00Z
normal,HTTP,57920,80,846,21,6,192.168.1.40,Low,2026-07-03T15:10:00Z
normal,TCP,6681,80,3423,27,9,192.168.1.39,Low,2026-07-03T11:45:00Z
normal,HTTPS,57304,80,1322,24,4,192.168.1.150,Low,2026-07-03T09:07:00Z
normal,TCP,37229,80,2321,3,8,192.168.1.37,Low,2026-07-03T12:24:00Z
normal,HTTP,58337,80,4684,24,3,192.168.1.233,Low,2026-07-03T13:24:00Z
normal,HTTPS,45951,80,3519,27,9,192.168.1.79,Low,2026-07-03T10:57:00Z
normal,TCP,60961,80,2057,17,7,192.168.1.172,Low,2026-07-03T17:11:00Z
normal,HTTPS,19169,80,825,13,4,192.168.1.245,Low,2026-07-03T10:24:00Z
normal,HTTPS,36123,443,4860,14,10,192.168.1.84,Low,2026-07-03T13:03:00Z
normal,DNS,33403,53,4020,4,2,192.168.1.91,Low,2026-07-03T16:43:00Z
normal,HTTPS,50203,443,3656,1,7,192.168.1.190,Low,2026-07-03T10:12:00Z
normal,HTTP,39445,443,3219,29,4,192.168.1.56,Low,2026-07-03T09:08:00Z
normal,TCP,44508,80,2784,11,8,192.168.1.102,Low,2026-07-03T13:54:00Z
normal,HTTP,9823,80,4691,13,7,192.168.1.141,Low,2026-07-03T13:23:00Z
normal,HTTP,3867,80,518,30,2,192.168.1.38,Low,2026-07-03T14:23:00Z
normal,HTTP,53475,80,151,6,2,192.168.1.146,Low,2026-07-03T16:04:00Z
normal,HTTPS,9827,443,1995,1,5,192.168.1.131,Low,2026-07-03T11:28:00Z
normal,HTTPS,53613,80,4803,12,5,192.168.1.69,Low,2026-07-03T14:42:00Z
normal,HTTP,61191,80,1726,8,1,192.168.1.113,Low,2026-07-03T14:23:00Z
normal,TCP,34398,80,3744,7,5,192.168.1.33,Low,2026-07-03T09:31:00Z
normal,DNS,39089,53,4770,2,8,192.168.1.97,Low,2026-07-03T09:38:00Z
normal,HTTPS,32413,80,3082,15,9,192.168.1.74,Low,2026-07-03T14:10:00Z
normal,DNS,24852,53,4872,19,5,192.168.1.198,Low,2026-07-03T14:41:00Z
normal,HTTP,48698,80,4827,21,2,192.168.1.108,Low,2026-07-03T17:49:00Z
normal,HTTP,47787,80,175,15,8,192.168.1.18,Low,2026-07-03T15:23:00Z
normal,DNS,58216,53,609,16,5,192.168.1.10,Low,2026-07-03T12:19:00Z
normal,TCP,24687,80,3255,16,1,192.168.1.174,Low,2026-07-03T11:42:00Z
normal,TCP,37062,80,419,29,5,192.168.1.103,Low,2026-07-03T09:26:00Z
normal,HTTP,52813,443,1702,7,9,192.168.1.9,Low,2026-07-03T13:12:00Z
normal,HTTP,30720,443,2534,20,9,192.168.1.158,Low,2026-07-03T16:18:00Z
normal,HTTP,37945,80,2265,6,9,192.168.1.98,Low,2026-07-03T10:53:00Z
normal,TCP,63386,80,3282,29,7,192.168.1.153,Low,2026-07-03T14:10:00Z
normal,DNS,51140,53,743,7,8,192.168.1.146,Low,2026-07-03T17:48:00Z
normal,HTTPS,60210,443,3201,27,9,192.168.1.218,Low,2026-07-03T11:21:00Z
normal,TCP,1411,80,3153,3,4,192.168.1.127,Low,2026-07-03T16:30:00Z
normal,DNS,30134,53,4328,18,7,192.168.1.63,Low,2026-07-03T12:12:00Z
normal,HTTP,12923,443,3182,17,4,192.168.1.114,Low,2026-07-03T13:26:00Z
normal,HTTPS,63043,80,493,19,1,192.168.1.166,Low,2026-07-03T17:58:00Z
normal,HTTPS,15700,443,889,4,10,192.168.1.73,Low,2026-07-03T11:06:00Z
normal,HTTPS,51155,80,3268,18,1,192.168.1.175,Low,2026-07-03T12:34:00Z
normal,DNS,59928,53,337,30,9,192.168.1.235,Low,2026-07-03T14:35:00Z
normal,DNS,52584,53,383,13,9,192.168.1.49,Low,2026-07-03T17:04:00Z
normal,HTTP,42252,80,3359,29,9,192.168.1.83,Low,2026-07-03T11:33:00Z
normal,HTTPS,20993,80,3072,3,1,192.168.1.36,Low,2026-07-03T12:10:00Z
normal,TCP,45339,80,2796,30,9,192.168.1.190,Low,2026-07-03T16:31:00Z
normal,HTTP,64513,80,800,15,9,192.168.1.74,Low,2026-07-03T13:12:00Z
normal,TCP,38853,80,1294,5,5,192.168.1.122,Low,2026-07-03T10:29:00Z
normal,TCP,52178,80,127,6,4,192.168.1.7,Low,2026-07-03T17:08:00Z
normal,HTTPS,4647,80,3910,14,5,192.168.1.186,Low,2026-07-03T10:17:00Z
normal,HTTPS,60303,80,2862,30,4,192.168.1.136,Low,2026-07-03T15:57:00Z
